file name,proportion_weight,filing_time,cik
E:/ALLEXTRACTED_FILINGS\1001250_10Q_2020_0001001250-20-000107.json,0.0008005133639798477,2020-11-02,1001250
E:/ALLEXTRACTED_FILINGS\1001250_10Q_2020_0001001250-21-000010.json,0.0006905281816523396,2021-02-05,1001250
E:/ALLEXTRACTED_FILINGS\1001250_10Q_2021_0001001250-21-000062.json,0.0005972681119971343,2021-05-03,1001250
E:/ALLEXTRACTED_FILINGS\1001250_10Q_2021_0001001250-21-000174.json,0.0007471724740755512,2021-11-02,1001250
E:/ALLEXTRACTED_FILINGS\1001250_10Q_2021_0001001250-22-000006.json,0.0007078971077554761,2022-02-03,1001250
E:/ALLEXTRACTED_FILINGS\1001250_10Q_2022_0001001250-22-000055.json,0.0006737450487534469,2022-05-03,1001250
E:/ALLEXTRACTED_FILINGS\1001250_10Q_2022_0001001250-22-000182.json,0.0007807246563318559,2022-11-02,1001250
E:/ALLEXTRACTED_FILINGS\1001250_10Q_2022_0001001250-23-000010.json,0.0006865102571972834,2023-02-02,1001250
E:/ALLEXTRACTED_FILINGS\1001250_10Q_2023_0001001250-23-000054.json,0.0006179226974467582,2023-05-03,1001250
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2019_0001564590-19-003270.json,0.001569316291554015,2019/2/19,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2019_0001564590-19-043736.json,0.001620171620622104,2019-11-18,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2020_0001564590-20-005025.json,0.0016451990605240588,2020-02-18,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2020_0001564590-20-041759.json,0.0017602819036430324,2020-08-28,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2020_0001564590-20-056069.json,0.0017187170354847343,2020-12-03,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2021_0000950170-21-005014.json,0.0018504168531639782,2021-12-02,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2021_0001564590-21-009843.json,0.0017547329393564199,2021-03-01,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2021_0001564590-21-046976.json,0.0018260882594787094,2021-09-02,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2022_0000950170-22-002669.json,0.0017899397889166088,2022-03-02,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2022_0000950170-22-017904.json,0.0007683884504475882,2022-08-30,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2022_0000950170-22-025960.json,0.0008025867177640459,2022-12-01,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2023_0000950170-23-005545.json,0.0008320618538142636,2023-03-01,1002047
E:/ALLEXTRACTED_FILINGS\1002047_10Q_2023_0000950170-23-045061.json,0.0006070342513106335,2023-08-29,1002047
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2019_0001002910-19-000139.json,0.0007835873230533136,2019/5/10,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2019_0001002910-19-000148.json,0.0007516660763963871,2019-11-08,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2020_0001002910-20-000115.json,0.0008703134229236837,2020-05-11,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2020_0001002910-20-000128.json,0.0008693162413735007,2020-08-07,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2020_0001002910-20-000138.json,0.0008431062842531589,2020-11-05,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2021_0001002910-21-000094.json,0.0007965043917246502,2021-05-10,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2021_0001002910-21-000103.json,0.0007521170677398583,2021-08-06,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2021_0001002910-21-000113.json,0.000795578359652795,2021-11-04,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2022_0001002910-22-000061.json,0.0008689896618209226,2022-05-06,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2022_0001002910-22-000072.json,0.0008222656874820337,2022-08-08,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2022_0001002910-22-000087.json,0.0007619812324258784,2022-11-04,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2023_0001002910-23-000090.json,0.0008495099841968094,2023-05-05,1002910
E:/ALLEXTRACTED_FILINGS\1002910_10Q_2023_0001002910-23-000102.json,0.0008775915271505791,2023-08-03,1002910
E:/ALLEXTRACTED_FILINGS\1004434_10Q_2019_0001004434-19-000022.json,0.0004993207520930484,2019/5/9,1004434
E:/ALLEXTRACTED_FILINGS\1004434_10Q_2019_0001004434-19-000044.json,0.00039703946204972765,2019-11-01,1004434
E:/ALLEXTRACTED_FILINGS\100493_10Q_2018_0000100493-19-000016.json,0.0011538945270142549,2019/2/7,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2019_0000100493-19-000063.json,0.0012042062958638935,2019/5/6,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2019_0000100493-20-000016.json,0.001568299929033864,2020-02-06,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2020_0000100493-20-000074.json,0.001585196101911721,2020-05-04,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2020_0000100493-20-000103.json,0.0016731443824632279,2020-08-03,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2021_0000100493-21-000015.json,0.0021734162964563734,2021-02-11,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2021_0000100493-21-000075.json,0.0020761207751466377,2021-05-10,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2021_0000100493-21-000103.json,0.001992447151148841,2021-08-09,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2022_0000100493-22-000016.json,0.0017260679318093987,2022-02-07,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2022_0000100493-22-000064.json,0.0017544265640781263,2022-05-09,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2022_0000100493-22-000078.json,0.0017380237680529155,2022-08-08,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2022_0000100493-23-000025.json,0.0017668992748614192,2023-02-06,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2023_0000100493-23-000067.json,0.001753161833870643,2023-05-08,100493
E:/ALLEXTRACTED_FILINGS\100493_10Q_2023_0000100493-23-000089.json,0.001510519944530855,2023-08-10,100493
E:/ALLEXTRACTED_FILINGS\1004980_10Q_2023_0001004980-23-000089.json,0.001694925400644591,2023-05-04,1004980
E:/ALLEXTRACTED_FILINGS\1004980_10Q_2023_0001004980-23-000135.json,0.0015352562995473748,2023-07-27,1004980
E:/ALLEXTRACTED_FILINGS\100517_10Q_2019_0000100517-19-000014.json,0.0003757184049963213,2019/4/17,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2019_0000100517-19-000026.json,0.0005592595440460644,2019-10-16,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2020_0000100517-20-000037.json,0.0008647953481760024,2020-05-04,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2020_0000100517-20-000046.json,0.0009359434389497195,2020-07-22,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2020_0000100517-20-000056.json,0.001014932446343219,2020-10-15,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2021_0000100517-21-000026.json,0.000685621586495434,2021-04-22,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2021_0000100517-21-000055.json,0.0014558318245431402,2021-07-22,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2021_0000100517-21-000072.json,0.0006364372463242187,2021-10-20,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2022_0000100517-22-000024.json,0.0008775013748237828,2022-04-21,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2022_0000100517-22-000047.json,0.0008577062198265955,2022-07-21,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2022_0000100517-22-000078.json,0.0008289965721961113,2022-10-19,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2023_0000100517-23-000116.json,0.0009003145775471629,2023-04-20,100517
E:/ALLEXTRACTED_FILINGS\100517_10Q_2023_0000100517-23-000153.json,0.0008043860230132243,2023-07-20,100517
E:/ALLEXTRACTED_FILINGS\100885_10Q_2019_0000100885-19-000129.json,0.0007187286338069592,2019/4/18,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2019_0000100885-19-000256.json,0.0007376684795758304,2019-10-17,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2020_0000100885-20-000143.json,0.0007413730034803743,2020-04-23,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2020_0000100885-20-000221.json,0.0009487644515223804,2020-07-23,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2020_0000100885-20-000304.json,0.0008289391405507771,2020-10-22,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2021_0000100885-21-000162.json,0.0008181463796215811,2021-04-22,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2021_0000100885-21-000250.json,0.0007653887662738355,2021-07-22,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2021_0000100885-21-000353.json,0.001009904139297437,2021-10-21,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2022_0001437749-22-009414.json,0.0006308870887177185,2022-04-21,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2022_0001437749-22-017515.json,0.000753252251341648,2022-07-21,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2022_0001437749-22-024458.json,0.0006428243455677129,2022-10-20,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2023_0001437749-23-010730.json,0.0008130002663365123,2023-04-20,100885
E:/ALLEXTRACTED_FILINGS\100885_10Q_2023_0001437749-23-020699.json,0.0007508820271254674,2023-07-26,100885
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2019_0001628280-19-005496.json,0.000533860987303612,2019/5/1,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2019_0001628280-19-013765.json,0.001087453800926352,2019-11-08,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2020_0001628280-20-006353.json,0.0009429100458081625,2020-05-05,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2020_0001628280-20-011887.json,0.0008823337270909874,2020-08-06,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2020_0001628280-20-014997.json,0.0009029411755992493,2020-10-28,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2021_0001628280-21-008866.json,0.0006856126934113494,2021-05-04,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2021_0001628280-21-015340.json,0.0008150231304816033,2021-08-03,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2021_0001628280-21-021203.json,0.0007024482798351544,2021-11-02,1012100
