dates,Filenames,tfidf,hawkish,dovish,Neutral,Negative,Positive,GT10,GT2,2s10s_Spread,Gold_Prices,VIX,SP500,quintile
2012-01-06,duke20120106a.txt,34.77222886877282,0.121506445,0.5860301,0.6082388217871387,0.0362641745557387,0.3554970081119488,0.0,-0.046511627906976785,0.006908566446004181,-0.0036671036683403645,0.021328162869607432,0.002261682096712422,5
2012-01-06,raskin20120106a.txt,18.267792295707707,0.14434503,0.5641132,0.7456091761356219,0.0013592908469339,0.2530315154091416,0.0,-0.046511627906976785,0.006908566446004181,-0.0036671036683403645,0.021328162869607432,0.002261682096712422,5
2012-01-25,FOMCminutes20120125.txt,29.66154164443053,0.13118799,0.54593956,0.8834201057381448,0.0121234992444853,0.1044564011901985,-0.05162907268170436,-0.05333333333333338,-0.05184768577652951,0.016454290390460657,0.01201529219006021,-0.007330040345386695,4
2012-01-25,FOMCpresconf20120125.txt,22.602942366879923,0.20702493,0.68490434,0.7013713317705439,0.0073514145474144,0.2912772452719735,-0.05162907268170436,-0.05333333333333338,-0.05184768577652951,0.016454290390460657,0.01201529219006021,-0.007330040345386695,5
2012-03-01,raskin20120301a.txt,11.749985084257114,0.14216217,0.5219244,0.3802301980063526,0.0370796641703539,0.5826901395679064,-0.007893438579181062,0.013745704467353966,-0.01143943924565959,-0.00694311072311949,0.045770567786790214,-0.007095605091369562,5
2012-03-13,FOMCminutes20120313.txt,11.052484513354228,0.13031949,0.539012,0.7865872530798826,0.0399926436657551,0.1734200893344158,0.07193229901269395,0.045977011494252915,0.07692134751888648,-0.009181436413923222,0.04189189189189184,0.004763780937712571,4
2012-03-14,bernanke20120314a.txt,5.9422622754156365,0.13276812,0.53287464,0.9989759683609007,0.0002407533640507,0.0007832634320948,0.011013215859030798,-0.06958762886597944,0.02810893387934216,0.009235221517640583,-0.05486610058785107,0.007093266775683579,2
2012-03-23,bernanke20120323a.txt,2.1384362982444136,0.13009685,0.53027,0.9995984037717184,0.0002287436849049,0.0001728487453268,0.007165248544558895,-0.022598870056497196,0.01287361998977053,0.017139074441836682,-0.03778677462887992,0.013885807130433603,1
2012-03-26,bernanke20120326a.txt,26.827896559892917,0.17889181,0.6602001,0.6975177536878618,0.0014124054123385,0.3010698394391511,-0.021342819030680322,-0.011560693641618347,-0.02362342090591565,-0.01575571832585885,0.08485273492286122,-0.007744385849729284,5
2012-03-27,duke20120327a.txt,12.70147233724324,0.13107727,0.5213726,0.9938840627670288,0.0008223630386055,0.0052935658794012,-0.010989010989010999,0.056074766355140235,-0.022553041432136083,-0.011411572214785105,-0.007055805003207147,-0.006541500297340929,3
2012-04-09,bernanke20120409a.txt,11.801823026449169,0.16210505,0.5623673,0.9991485293094928,0.0004524547593274,0.0003990277193504,-0.005859375000000005,-0.07594936708860767,0.006597313402686456,0.011412824796068933,0.06432748538011701,-0.0097598032122703,2
2012-04-10,tarullo20120410a.txt,12.384764589309398,0.13745202,0.547486,0.9174825657497752,0.0007298655956136,0.0817875634159215,0.034795763993948535,0.0,0.04041389471672599,0.009548595422698493,-0.15644923982344291,0.021330938693792843,4
2012-04-11,yellen20120411a.txt,22.50938149399714,0.14900668,0.6778965,0.749120078291744,0.003486247526016,0.2473936833639163,-0.0260314341846758,-0.08219178082191769,-0.016598761772506843,-0.00036166801287532645,-0.02347652347652342,0.0011324531858464939,5
2012-04-13,bernanke20120413a.txt,37.96332674157057,0.119022034,0.5287795,0.971036483259762,0.0060617097581545,0.0229018236739862,-0.0010085728693898142,0.007462686567164185,-0.0022079624244092616,-0.003841097938952543,0.0,-0.000503554070030545,3
2012-04-25,FOMCpresconf20120425.txt,26.545463408453124,0.1904681,0.72527826,0.5492448902926602,0.0557480921997921,0.3950070263348,-0.0246851385390429,-0.02985074626865674,-0.024104720493205122,0.011638235222543914,-0.029726516052318668,0.009110585392862424,5
2012-04-25,FOMCminutes20120425.txt,24.43886190228084,0.12701473,0.5388773,0.9073118483793224,0.0039173435281251,0.0887708222453511,-0.0246851385390429,-0.02985074626865674,-0.024104720493205122,0.011638235222543914,-0.029726516052318668,0.009110585392862424,4
2012-05-02,tarullo20120502a.txt,25.920084909165617,0.119943686,0.5154543,0.9961236823688854,0.0012994992655215,0.002576834907152,-0.02592016588906171,-0.030303030303030328,-0.024788190951000703,-0.006713235961172177,0.13507109004739343,-0.023682352689490937,2
2012-05-10,bernanke20120510a.txt,15.308848546966896,0.15754211,0.5337376,0.8510531139644709,0.102228245476991,0.0467186421076555,-0.055139186295503316,0.015384615384615398,-0.06676028850286132,-0.02338755716714448,0.16144450345193856,-0.014462551270627988,3
2012-05-15,duke20120515a.txt,27.04150600563988,0.12191603,0.5578485,0.9006070523307874,0.004640896719558,0.0947520441572683,-0.040135669869983015,0.07246376811594189,-0.061001049039586176,0.019454698529888084,0.1147018661811561,-0.019388874693761125,4
2012-06-06,yellen20120606a.txt,30.72149119699996,0.1663394,0.6387558,0.4207244823704025,0.0043524598139036,0.5749230537319953,-0.014457831325301219,0.015151515151515164,-0.02005837168078213,-0.01614646043654093,-0.041967509025270744,0.008006813014682937,5
2012-06-12,tarullo20120612a.txt,21.97766071376112,0.12375116,0.5272776,0.9711032555653498,0.0240881870021649,0.0048085652804449,-0.013213213213213225,0.013698630136986314,-0.019193908286385192,0.00862888346348092,-0.01856043458578543,0.003715506955247659,2
