file name,number of words
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_354190_0001193125-19-032304_1.txt,1309785
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_42582_0000950123-19-000989_1.txt,2292990
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_702165_0000702165-19-000012_1.txt,1104577
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_740260_0000740260-19-000037_1.txt,5443072
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_773840_0000930413-19-000366_1.txt,1671532
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_804753_0000804753-19-000009_1.txt,1017532
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_936468_0000936468-19-000009_1.txt,1795123
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190211_10-K_edgar_data_1359841_0001359841-19-000025_1.txt,1277818
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190211_10-K_edgar_data_26172_0000026172-19-000009_1.txt,2135581
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190211_10-K_edgar_data_899689_0000899689-19-000010_1.txt,2467700
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190212_10-K_edgar_data_106640_0000106640-19-000016_1.txt,1620203
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190212_10-K_edgar_data_1110803_0001110803-19-000013_1.txt,918450
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190212_10-K_edgar_data_1279363_0001279363-19-000008_1.txt,1377088
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190212_10-K_edgar_data_1466258_0001466258-19-000073_1.txt,2148583
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190212_10-K_edgar_data_24545_0000024545-19-000007_1.txt,2942728
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190212_10-K_edgar_data_24741_0000024741-19-000016_1.txt,2503267
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190212_10-K_edgar_data_28412_0000028412-19-000047_1.txt,2887710
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190212_10-K_edgar_data_29989_0000029989-19-000007_1.txt,914711
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190212_10-K_edgar_data_731766_0000731766-19-000005_1.txt,1456300
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_1001082_0001558370-19-000607_1.txt,2214561
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_1045609_0001564590-19-002872_1.txt,3288875
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_1047122_0001047122-19-000007_1.txt,2068573
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_1100682_0001100682-19-000004_1.txt,1568202
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_1113169_0001113169-19-000011_1.txt,966930
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_1126328_0001047469-19-000469_1.txt,6751958
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_1141391_0001141391-19-000013_1.txt,1676492
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_1585689_0001585689-19-000034_1.txt,2527321
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_318154_0000318154-19-000008_1.txt,1501583
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_34903_0000034903-19-000013_1.txt,1456546
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_40533_0000040533-19-000010_1.txt,1610807
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_45012_0000045012-19-000044_1.txt,743140
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_4962_0000004962-19-000018_1.txt,2236519
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_60086_0001193125-19-037854_1.txt,1328279
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_64040_0000064040-19-000059_1.txt,2078710
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_820313_0001558370-19-000636_1.txt,1812502
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_875320_0000875320-19-000006_1.txt,1302561
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190213_10-K_edgar_data_906163_0000906163-19-000029_1.txt,832046
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_1020569_0001020569-19-000018_1.txt,3207262
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_1021860_0001564590-19-002967_1.txt,2209599
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_1501585_0001501585-19-000005_1.txt,1189462
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_1555280_0001555280-19-000041_1.txt,1561934
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_1590955_0001564590-19-002998_1.txt,1153574
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_1705696_0001705696-19-000064_1.txt,1182081
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_18230_0000018230-19-000034_1.txt,3760130
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_217346_0001104659-19-008151_1.txt,1539838
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_33213_0000033213-19-000006_1.txt,1574181
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_765880_0001628280-19-001407_1.txt,3540145
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_773910_0000773910-19-000009_1.txt,2109769
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_823768_0001558370-19-000662_1.txt,2180346
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_86312_0000086312-19-000009_1.txt,4361945
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_877212_0000877212-19-000011_1.txt,1049863
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_879169_0001558370-19-000682_1.txt,1282243
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_91440_0000091440-19-000003_1.txt,1779010
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190214_10-K_edgar_data_922224_0000922224-19-000015_1.txt,5650341
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_1014473_0001014473-19-000005_1.txt,696800
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_106535_0000106535-19-000014_1.txt,1470896
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_1099800_0001099800-19-000004_1.txt,1511324
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_1137774_0001137774-19-000058_1.txt,5709675
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_1578845_0001564590-19-003111_1.txt,6771832
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_1596532_0001596532-19-000027_1.txt,1023370
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_1601712_0001601712-19-000053_1.txt,1206752
