" To cite just one example, it is well known now that the rapid growth of securitization of residential mortgages in the United States was a prominent factor driving up home lending and driving down lending standards."
" Like larger banks more recently, this result was the product of particularly strong loan activity, with recent year -overyear loan growth of  7.7 percent, which was substantially above the increase last year in the banking industry as a whole."
" Turning to recent regulatory developments, the big news, of course, is the Economic Growth, Regulatory Relief and Consumer Protection Act sponsored by Senator Crapo, passed by Congress at the end of May and signed by the P resident."
" In two years, from 2007 to 2009, the unemployment rate in Utah more than tripled."
" It is useful when the credibility and commitment of the decisions are especially important, such as when my Fed colleagues and I set monetary policy."
