cik,filing_date,avg_excess_return
723254,2022-07-27,0.0008655972623137361
723254,2023-07-27,-0.006858598179482222
723254,2019-07-26,-0.0016737840480986089
723254,2021-07-28,0.0029091616829385767
723254,2020-07-29,-0.008961834353577
732712,2023-02-10,0.002141635340301575
732712,2019-02-15,0.006681811622816836
732712,2021-02-25,-0.005689188852506969
732712,2020-02-21,0.003519983975181633
732712,2022-02-11,0.00022340142551805593
1018724,2020-01-31,-0.0031370167406884744
1018724,2022-02-04,0.008563538833785187
1018724,2021-02-03,-0.010025125879571982
1018724,2023-02-03,-0.01240181312958907
1018724,2019-02-01,-0.007267288566940609
1130310,2019-02-28,-0.002827904455459768
1130310,2022-02-22,0.007874443204580774
1130310,2020-02-27,-0.002312368033290938
1130310,2023-02-17,0.0003217476582965731
1130310,2021-02-25,-0.01115099403113375
18230,2021-02-17,0.022872702511984744
18230,2020-02-19,0.013434046012298258
18230,2022-02-16,-0.005551056659096556
18230,2019-02-14,0.0037873282836349753
18230,2023-02-15,0.0031288334073154432
320193,2019-10-31,0.007769143699622326
320193,2022-10-28,-0.007369220041654269
320193,2021-10-29,-0.00349262267185531
320193,2020-10-30,-0.018929714225227996
320193,2023-11-03,0.008088001039696393
1327567,2023-09-01,0.011584590649048841
1413329,2020-02-07,0.00847089156773197
1413329,2022-02-11,0.014699717024511574
1413329,2023-02-10,-0.0022792047762305373
1413329,2021-02-09,0.000401556576689519
1413329,2019-02-07,0.01639547133055661
1637459,2023-02-16,0.000573752181546643
1637459,2021-02-17,0.02138217303649488
1637459,2020-02-14,0.00146867422399832
1637459,2019-06-07,-0.0020221178510842655
1637459,2022-02-17,0.02857677642453725
1158449,2019-02-19,-0.011335968861360131
1158449,2022-02-15,-0.0013294134510371553
1158449,2021-02-22,-0.007544989446054668
1158449,2020-02-18,0.008552920216751168
1166691,2021-02-04,0.0033401371927534304
1166691,2023-02-03,-0.01028326771898137
1166691,2022-02-02,-0.005669516632706716
1166691,2019-01-31,0.006918483262447261
1166691,2020-01-30,0.004042305842263995
1596532,2021-02-19,-0.014701656445062269
1596532,2022-02-15,0.012093756227257828
1596532,2020-02-14,0.002592147030264648
1596532,2023-02-14,0.0080778037014386
1596532,2019-02-15,0.011976960062702548
79282,2022-02-23,0.0005210682508437205
79282,2023-02-27,-0.0006867274698949509
79282,2021-02-23,0.005346032293888691
721371,2021-08-16,0.001634768997709625
721371,2023-08-15,-0.01494531445916122
721371,2020-08-13,-0.017911520339453396
721371,2019-08-20,0.0026452120795728757
721371,2022-08-11,0.025014949463671513
1113169,2019-02-13,-0.00433636069039629
1113169,2020-02-13,0.004183574114759201
1113169,2023-02-15,0.000775544550197949
1113169,2022-02-24,-0.005816203664294264
1113169,2021-02-11,-0.0027908650321459578
1145197,2023-02-24,-0.010542579202955711
1274494,2022-03-01,0.004244198232977031
1274494,2023-02-28,0.028619887879416408
78003,2021-02-25,-0.0019517754297674467
78003,2022-02-24,-0.015804335027231893
78003,2023-02-23,-0.006157505905684563
78003,2019-02-28,-0.0033747893749929724
78003,2020-02-27,-0.0023191727436073263
910606,2022-02-17,0.008296715343624913
910606,2020-02-18,0.0053303217891604625
910606,2021-02-17,0.014430576386967434
910606,2023-02-17,-0.0007402082904307259
910606,2019-02-21,0.0004574055950748316
96943,2020-02-21,-0.005770479161142685
96943,2021-02-25,0.0014821031297814883
96943,2022-03-01,0.010656860734419677
96943,2023-02-23,0.002827403753953864
96943,2019-02-21,0.005040989593999905
6201,2020-02-19,0.0066914029223119845
6201,2023-02-22,-0.002786852506671862
6201,2021-02-17,0.03323731575100341
6201,2022-02-22,-0.007102038273541356
6201,2019-02-25,0.006066102491122325
1402057,2022-02-28,0.0027899920849213528
1402057,2019-02-27,-0.0034890864636039735
1402057,2020-02-28,-0.006911807421688397
1402057,2021-02-26,-0.001620698649640197
1402057,2023-02-24,-0.0014613925638253646
1048286,2023-02-14,-0.009626300431044841
1048286,2019-03-01,0.005207058980985143
1048286,2022-02-15,0.002797232780366642
1048286,2020-02-27,0.01727032611800493
1048286,2021-02-18,0.04132001647740864
1014473,2023-02-17,-0.00622624993538297
1014473,2022-02-18,0.004081707684649078
1014473,2019-02-15,-0.00035943520220033955
1014473,2021-02-19,-0.010665887552505204
1014473,2020-02-14,-0.0025551183171944516
35527,2023-02-24,0.005522520687707332
35527,2020-03-02,-0.014267745521861185
35527,2022-02-25,0.008372806668009531
35527,2021-02-26,0.008045948304846909
35527,2019-03-01,-0.004272599260135782
1506307,2021-02-05,0.009967326302635068
1506307,2023-02-08,-0.0006096788249592071
1506307,2022-02-07,-0.0014487125610822796
1506307,2020-02-12,0.00485342602965062
1506307,2019-02-08,0.0071999255676232525
64040,2020-02-10,-0.004538491371391082
64040,2023-02-10,0.0012585517743167866
64040,2019-02-13,-0.001548871688950803
64040,2022-02-08,-0.004273737208340539
64040,2021-02-09,0.01006329709959735
310764,2019-02-07,0.006753357096537956
310764,2022-02-11,0.0029706010736931746
310764,2021-02-11,0.0024799695625949436
310764,2020-02-06,0.0013602483104648328
310764,2023-02-10,-0.0025675722680489825
62709,2021-02-17,0.011193480760761878
62709,2020-02-20,0.002866044691395541
62709,2023-02-13,0.0019646744947345307
62709,2022-02-16,0.0012898626418170708
62709,2019-02-21,0.0001474227240697256
1280452,2023-02-24,0.0012451098958305342
1280452,2022-02-25,-0.009676710925019351
1280452,2021-03-01,-0.022768324849584597
1093557,2022-02-14,-0.018192693875561713
1093557,2023-02-09,-0.002689837520677177
1093557,2021-02-11,0.012044786431366767
