File Name,File Type,Date,Number of Sentences,Sentiment Index
fomcminutes20150318,FOMC_Minutes,20150318,177,-0.079096045
fomcminutes20220727,FOMC_Minutes,20220727,139,0.19424460431654678
fomcminutes20140730,FOMC_Minutes,20140730,107,-0.112149533
fomcminutes20140917,FOMC_Minutes,20140917,191,-0.183246073
fomcminutes20231213,FOMC_Minutes,20231213,129,0.11627906976744186
fomcminutes20201105,FOMC_Minutes,20201105,91,-0.296703297
fomcpresconf20130619,FOMC_Presconf,20130619,92,-0.141304348
fomcpresconf20120620,FOMC_Presconf,20120620,55,-0.472727273
fomcpresconf20220316,FOMC_Presconf,20220316,136,0.4264705882352941
fomcpresconf20160615,FOMC_Presconf,20160615,101,-0.03960396
fomcpresconf20220504,FOMC_Presconf,20220504,118,0.22033898305084745
fomcpresconf20220921,FOMC_Presconf,20220921,120,0.36666666666666664
fomcpresconf20200429,FOMC_Presconf,20200429,51,-0.411764706
fomcpresconf20190731,FOMC_Presconf,20190731,66,-0.227272727
fomcpresconf20230503,FOMC_Presconf,20230503,82,0.2926829268292683
fomcpresconf20190320,FOMC_Presconf,20190320,84,-0.107142857
fomcpresconf20200610,FOMC_Presconf,20200610,70,-0.3
fomcpresconf20180321,FOMC_Presconf,20180321,91,0.043956044
fomcpresconf20191211,FOMC_Presconf,20191211,102,-0.088235294
fomcpresconf20120425,FOMC_Presconf,20120425,74,-0.148648649
fomcpresconf20210616,FOMC_Presconf,20210616,132,0.2803030303030303
fomcpresconf20170614,FOMC_Presconf,20170614,86,-0.058139535
fomcpresconf20230920,FOMC_Presconf,20230920,118,0.3135593220338983
fomcpresconf20210428,FOMC_Presconf,20210428,86,-0.104651163
fomcpresconf20190130,FOMC_Presconf,20190130,54,0.1111111111111111
fomcpresconf20150617,FOMC_Presconf,20150617,68,-0.117647059
fomcpresconf20200729,FOMC_Presconf,20200729,53,-0.358490566
fomcpresconf20190619,FOMC_Presconf,20190619,78,-0.115384615
fomcpresconf20120125,FOMC_Presconf,20120125,118,-0.144067797
fomcpresconf20121212,FOMC_Presconf,20121212,104,-0.230769231
fomcpresconf20170920,FOMC_Presconf,20170920,103,-0.223300971
fomcpresconf20210922,FOMC_Presconf,20210922,72,0.2361111111111111
fomcpresconf20230614,FOMC_Presconf,20230614,122,0.27049180327868855
fomcpresconf20120913,FOMC_Presconf,20120913,80,-0.25
fomcpresconf20170315,FOMC_Presconf,20170315,70,-0.028571429
fomcpresconf20210317,FOMC_Presconf,20210317,111,-0.117117117
fomcpresconf20240131,FOMC_Presconf,20240131,157,0.20382165605095542
fomcpresconf20130320,FOMC_Presconf,20130320,62,-0.258064516
fomcpresconf20200303,FOMC_Presconf,20200303,17,0.058823529411764705
fomcpresconf20200129,FOMC_Presconf,20200129,62,-0.112903226
fomcpresconf20160316,FOMC_Presconf,20160316,109,-0.009174312
fomcpresconf20160921,FOMC_Presconf,20160921,96,-0.072916667
fomcpresconf20240320,FOMC_Presconf,20240320,109,0.22018348623853212
fomcpresconf20220615,FOMC_Presconf,20220615,145,0.4413793103448276
fomcpresconf20210728,FOMC_Presconf,20210728,109,0.22935779816513763
fomcpresconf20200315,FOMC_Presconf,20200315,37,-0.351351351
fomcpresconf20240731,FOMC_Presconf,20240731,102,0.10784313725490197
fomcpresconf20230201,FOMC_Presconf,20230201,132,0.3333333333333333
fomcpresconf20211215,FOMC_Presconf,20211215,138,0.2536231884057971
fomcpresconf20221102,FOMC_Presconf,20221102,110,0.43636363636363634
fomcpresconf20240918,FOMC_Presconf,20240918,114,0.21929824561403508
fomcpresconf20240501,FOMC_Presconf,20240501,151,0.2052980132450331
fomcpresconf20140618,FOMC_Presconf,20140618,99,-0.070707071
fomcpresconf20161214,FOMC_Presconf,20161214,68,-0.147058824
fomcpresconf20201216,FOMC_Presconf,20201216,85,-0.105882353
fomcpresconf20180613,FOMC_Presconf,20180613,122,0.008196721
fomcpresconf20131218,FOMC_Presconf,20131218,118,-0.203389831
fomcpresconf20231101,FOMC_Presconf,20231101,111,0.3963963963963964
fomcpresconf20200916,FOMC_Presconf,20200916,100,-0.21
fomcpresconf20130918,FOMC_Presconf,20130918,97,-0.206185567
fomcpresconf20171213,FOMC_Presconf,20171213,81,-0.061728395
fomcpresconf20210127,FOMC_Presconf,20210127,86,-0.162790698
fomcpresconf20140917,FOMC_Presconf,20140917,70,-0.2
fomcpresconf20231213,FOMC_Presconf,20231213,103,0.10679611650485436
fomcpresconf20201105,FOMC_Presconf,20201105,39,-0.41025641
fomcpresconf20150318,FOMC_Presconf,20150318,81,-0.086419753
fomcpresconf20220727,FOMC_Presconf,20220727,115,0.34782608695652173
fomcpresconf20180926,FOMC_Presconf,20180926,91,0.17582417582417584
fomcpresconf20181219,FOMC_Presconf,20181219,70,0.071428571
fomcpresconf20211103,FOMC_Presconf,20211103,117,0.05982906
fomcpresconf20141217,FOMC_Presconf,20141217,88,-0.170454545
fomcpresconf20221214,FOMC_Presconf,20221214,135,0.2222222222222222
fomcpresconf20220126,FOMC_Presconf,20220126,114,0.40350877192982454
fomcpresconf20151216,FOMC_Presconf,20151216,116,-0.00862069
fomcpresconf20230726,FOMC_Presconf,20230726,143,0.2727272727272727
fomcpresconf20150917,FOMC_Presconf,20150917,110,-0.190909091
fomcpresconf20191030,FOMC_Presconf,20191030,96,-0.114583333
fomcpresconf20140319,FOMC_Presconf,20140319,98,-0.285714286
fomcpresconf20230322,FOMC_Presconf,20230322,73,0.4246575342465753
fomcpresconf20240612,FOMC_Presconf,20240612,136,0.25735294117647056
fomcpresconf20190501,FOMC_Presconf,20190501,87,-0.091954023
fomcpresconf20190918,FOMC_Presconf,20190918,82,-0.073170732
tarullo20150130a,FOMC_Speech,20150130,8,0.125
clarida20211012a,FOMC_Speech,20211012,27,0.074074074
waller20240301a,FOMC_Speech,20240301,24,0.041666666666666664
fischer20150227a,FOMC_Speech,20150227,16,0.0625
