,ticker_y,cik,permno
64373,TRV,86312,89495
64393,TRV,86312,59459
64630,DGX,1022079,84373
64883,MKC,63754,52090
65133,PLD,1045609,80406
65228,PLD,1045609,85592
65379,BIIB,875045,76841
65621,MTB,36270,35554
65860,VTRS,1792044,69550
66059,VTRS,1792044,20057
66097,VLO,1035002,85269
66334,GILD,882095,77274
66568,TPR,1116132,88661
66800,LH,920148,12062
67030,STZ,16918,69796
67252,DHI,882184,77661
67474,TSN,100493,77730
67695,PSA,1393311,64653
67916,AMP,820027,90880
68135,LEN,920760,52708
68354,AMZN,1018724,84788
68572,EL,1001250,82642
68788,VRSN,1014473,85753
69003,BXP,1037540,85058
69216,GOOG,1652044,90319
69217,GOOGL,1652044,90319
69642,KIM,879101,77129
69855,JNPR,1043604,86979
70066,CME,1156375,89626
70275,CBRE,1138118,90199
70481,FIS,1136893,89003
70687,CTSH,1058290,86158
70893,MTCH,891103,78840
70913,MTCH,891103,15850
70941,AVB,915912,80381
71145,RL,1037038,85072
71348,CHRW,1043277,85459
71550,HST,1070750,46703
71752,AIZ,1267238,90038
71953,MDLZ,1103982,89006
72154,AKAM,1086222,87299
72352,DFS,1393612,92121
72550,MCHP,827054,78987
72746,ICE,1571949,90993
72942,EXPD,746515,87717
73137,J,52988,52329
73332,EXPE,1324424,90808
73527,AMT,1053507,86111
73721,PM,1413329,92602
73911,CTRA,858470,76082
74098,ISRG,1035267,88352
74285,DVA,927066,82307
74471,MA,1141391,91233
74657,IVZ,914208,19583
74842,CF,1324404,90829
75027,LHX,202058,25582
75211,FAST,815556,11618
75395,APH,820313,84769
75579,CRM,1108524,90215
75763,WEC,783325,23536
75946,NDAQ,1120193,90601
76129,SJM,91419,42585
76311,WYNN,1174922,89533
76493,EQT,33213,24328
76627,RSG,1060391,86228
76808,WELL,766704,65947
76988,IRM,1020569,83143
77168,HRL,48465,32870
77346,ORLY,898173,79103
77524,VTR,740260,75819
77702,ES,72741,44206
77880,PWR,1050915,85792
78054,WDC,106040,66384
78228,FSLR,1274494,91611
78330,BKNG,1075531,86783
78500,V,1403161,92611
78669,ROST,745732,91556
78838,LDOS,1336920,91547
78936,ROP,882835,77338
79105,NRG,1013871,90071
79273,WBD,1437107,90805
79418,WBD,1437107,22976
79439,KMX,1170010,89508
79602,NFLX,1065280,89393
79759,FFIV,1048695,86964
79916,CMG,1058090,91068
80069,BLK,1364742,87267
80222,EW,1099800,87657
80375,MPC,1510295,12872
80525,ACN,1467373,89071
80675,MOS,1285785,90386
80823,XYL,1524472,13035
80969,DLTR,935703,81481
81114,BWA,908255,79545
81259,CCI,1051470,86339
81401,PSX,1534701,13356
81541,MNST,865752,88031
81680,LRCX,707549,48486
81819,STX,1137789,89641
81957,LYB,1489393,12345
82093,PNR,77360,13586
82228,GRMN,1121788,88837
82361,ABBV,1551152,13721
82493,REGN,872589,76614
82621,ZTS,1555280,13788
82748,NWS,1564708,13963
82749,NWSA,1564708,13963
83000,VRTX,875320,76744
83124,AME,1037868,85257
83248,META,1326801,13407
83369,ALLE,1579241,14297
83490,MHK,851968,77496
83611,TSCO,916365,80286
83731,KDP,1418135,79588
83755,KDP,1418135,17942
83774,ESS,920522,80681
83891,AVGO,1730168,93002
84007,MLM,916076,80204
84121,UHS,352915,79637
84233,URI,1067701,85663
84345,RCL,884887,79145
84454,SWKS,4127,45911
84560,HSIC,1000228,82581
84666,EQIX,1101239,89617
84772,O,726728,81045
84877,QRVO,1604778,85035
84980,JBHT,728535,42877
85082,PYPL,1633917,15488
85184,UAL,100517,91103
85284,VRSK,1442145,93089
85383,SYF,1601712,14776
85481,HPE,1645590,15707
85579,CHD,313927,23393
85676,EXR,1289490,90305
85772,WTW,1140536,89017
85868,CFG,759944,14889
85963,FRT,34903,58413
86058,HOLX,859737,76095
86152,AWK,1410636,92614
86246,CNC,1071739,89269
86340,UDR,74208,59300
86434,ULTA,1403568,92322
86527,GPN,1123360,88873
86620,DLR,1297996,90373
86712,AJG,354190,38093
86804,LKQ,1065696,89866
86896,TDG,1260221,91152
86987,FTV,1659166,16087
87077,LNT,352541,58819
87167,ALB,915913,80191
87257,CHTR,1091667,12308
87345,MTD,1037646,85621
87433,COO,711404,65541
87521,HWM,4281,24643
87607,MAA,912595,80183
87692,IDXX,874716,76709
87776,INCY,879169,79906
87859,REG,910606,79782
87941,SNPS,883241,77357
88023,RJF,720005,69649
88105,ARE,1035443,84767
88187,CBOE,1374310,93429
88269,IT,749251,79698
88350,ANSS,1013462,83621
88429,ALGN,1097149,88860
88508,MGM,789570,11891
88586,PKG,75677,87541
88664,RMD,943819,81736
88742,BKR,1701605,75034
88820,AOS,91142,65402
88898,IQV,1478242,13911
88975,SBAC,1034054,86996
89051,CDNS,813672,11403
89127,NCLH,1513761,13760
89202,HII,1501585,12623
89274,TTWO,946581,84761
89344,MSCI,1408198,92402
89413,EVRG,1711269,24053
89480,BR,1383312,91849
89547,CPRT,900075,80320
89613,ANET,1596532,14714
89678,ROL,84839,36003
89741,FTNT,1262039,93132
89804,JKHY,779152,88664
89866,KEYS,1601046,14939
89928,LW,1679273,16431
89989,CE,1306830,90520
90050,FANG,1539838,13641
90111,TFX,96943,44329
90171,ATO,731802,32986
90230,WAB,943452,81677
90289,FOX,1754301,18420
90290,FOXA,1754301,18420
90405,DOW,1751788,18428
90462,CTVA,1755672,18592
90517,AMCR,1748790,18724
90572,MKTX,1278021,90454
90626,TMUS,1283699,91937
90680,IEX,832101,75591
90733,CDW,1402057,13949
90785,NVR,906163,79785
90837,LVS,1300514,90505
90888,NOW,1373715,13447
90938,ODFL,878927,77037
90987,WRB,11544,17743
91036,STE,1757898,77649
91085,ZBRA,877212,76795
91134,LYV,1335258,91041
91183,PAYC,1590955,14579
91231,IR,1699150,16692
91277,OTIS,1781335,19286
91322,CARR,1783180,19285
91367,WST,105770,62498
91411,DXCM,1093557,90664
91455,DPZ,1286681,90248
91499,TDY,1094285,87445
91542,TYL,860731,76185
91585,CTLT,1596783,14763
91625,POOL,945841,82515
91664,TSLA,1318605,93436
91701,TRMB,864749,76230
91737,ENPH,1463101,13323
91773,MPWR,1280452,90455
91808,NXPI,1413447,12084
91842,GNRC,1474735,93246
91876,CZR,1590895,14882
91910,CRL,1100682,88281
91942,MRNA,1682852,18312
91972,TECH,842023,75694
92001,BRO,79282,63467
92029,FDS,1013237,83597
92054,EPAM,1352010,13210
92079,CEG,1868275,22623
92102,NDSN,72331,57809
92125,MOH,1179929,89781
92147,CPT,906345,79452
92168,ON,1097864,88182
92187,VICI,1705696,17307
92206,INVH,1687229,16581
92222,CSGP,1057352,86288
92238,TRGP,1389170,12476
92253,ACGL,947484,82276
92267,STLD,1022671,84262
92280,FICO,814547,11533
92290,PODD,1145197,92050
92300,AXON,1069183,89031
92308,PANW,1327567,13511
92315,BX,1393818,92108
92319,ABNB,1559720,20190
92323,HUBB,48898,32942
92326,LULU,1397187,92203
92329,BLDR,1316835,90720
92330,UBER,1543151,18576
