File,TF-IDF,Proportion Weight,Excess Return 3D,Excess Return 4D
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-18-000026\full-submission.txt,0.5310292689187968,0.9864066573731514,-0.012326999999999998,-0.016418
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-18-000034\full-submission.txt,0.3664122114119095,0.6058210516562906,0.11227100000000001,0.131334
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-19-000014\full-submission.txt,0.9198368919182418,0.8458679132364096,0.087401,0.074013
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-19-000029\full-submission.txt,0.6764559122221955,0.3785682815255514,0.051671999999999996,0.037689
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-19-000042\full-submission.txt,0.2158314264788899,0.7146708564102333,0.043132000000000004,0.04485600000000001
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-20-000010\full-submission.txt,0.112788429903638,0.8612411438022607,0.008369000000000007,0.009603000000000006
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-20-000019\full-submission.txt,0.5355395014602264,0.1636803177527732,0.06851700000000001,0.037760000000000016
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-20-000035\full-submission.txt,0.3400030785654157,0.1749635476575841,0.009813000000000002,0.015148000000000002
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-21-000012\full-submission.txt,0.8537217467226959,0.4337368196786892,-0.20361999999999997,-0.167146
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-21-000025\full-submission.txt,0.903187910263541,0.3106930198687306,0.033166999999999995,0.085314
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-21-000043\full-submission.txt,0.7500400885874582,0.5395554751148192,-0.02752099999999999,-0.09758499999999998
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-22-000010\full-submission.txt,0.0207862963957456,0.976078301262708,-0.287818,-0.280225
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-22-000026\full-submission.txt,0.966178500395424,0.466343173180655,-0.06600399999999998,-0.009513999999999984
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002969\10-Q\0000002969-22-000038\full-submission.txt,0.9408342548268096,0.8329104443534598,0.18191600000000002,0.17182199999999997
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-18-000011\full-submission.txt,0.5086002182865791,0.7299535696357828,0.064117,0.16618200000000002
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-18-000021\full-submission.txt,0.6960247270240998,0.9762955777447444,0.14854499999999998,0.26991200000000004
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-18-000032\full-submission.txt,0.5021177956616074,0.7642306124729147,-0.18032,-0.12451400000000001
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-19-000013\full-submission.txt,0.4355753358502828,0.0214755118076401,0.314132,0.19920300000000002
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-19-000022\full-submission.txt,0.4363633491033176,0.2963568707327577,-0.10877500000000001,-0.02048499999999999
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-19-000041\full-submission.txt,0.9579277074904172,0.8832866475597939,0.065825,0.03698100000000001
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-20-000007\full-submission.txt,0.6335848014775156,0.816220689797124,-0.139936,-0.10769
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-20-000027\full-submission.txt,0.0079847627270174,0.5572758539806074,0.19717599999999996,0.207652
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-20-000046\full-submission.txt,0.3651741226292805,0.3833713948605044,-0.042786000000000005,-0.049944
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-21-000013\full-submission.txt,0.8290920887924673,0.5943866353593603,0.377379,0.33525000000000005
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-21-000029\full-submission.txt,0.5544920965622725,0.0226512381307034,-0.311627,-0.283751
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-21-000050\full-submission.txt,0.8667853667313775,0.0234190202291394,-0.08165100000000003,-0.039548000000000014
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-22-000010\full-submission.txt,0.2680353738558465,0.3524753519848168,-0.14834,-0.20864799999999997
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-22-000015\full-submission.txt,0.92872064107391,0.1162654831645246,-0.21036000000000002,-0.16064000000000003
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004127\10-Q\0000004127-22-000034\full-submission.txt,0.0571890965082629,0.0943985218931102,-0.016117000000000006,0.064045
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-18-000060\full-submission.txt,0.8034303392348202,0.8955401951762079,-0.300153,-0.504787
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-18-000109\full-submission.txt,0.5879292403406696,0.4454140771363933,-0.01243,-0.011694000000000003
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-18-000127\full-submission.txt,0.4072403213269772,0.8562738377596861,0.20725000000000002,0.23295400000000002
